region_id,center_node_idx,cell_id
UPMC_c004_v001_r001_reg017,5834,672484
UPMC_c004_v001_r001_reg017,5594,672241
UPMC_c004_v001_r001_reg021,1149,686428
UPMC_c004_v001_r001_reg021,3319,688613
UPMC_c004_v001_r001_reg021,3039,688329
UPMC_c004_v001_r001_reg021,823,686102
UPMC_c004_v001_r001_reg021,6584,691902
UPMC_c004_v001_r001_reg021,2739,688027
UPMC_c004_v001_r001_reg022,1227,693252
UPMC_c004_v001_r001_reg022,8797,700876
UPMC_c004_v001_r001_reg022,7174,699244
UPMC_c004_v001_r001_reg022,4148,696182
UPMC_c004_v001_r001_reg022,8987,701070
UPMC_c004_v001_r001_reg022,1267,693292
UPMC_c004_v001_r001_reg022,7301,699371
UPMC_c004_v001_r001_reg022,2863,694893
UPMC_c004_v001_r001_reg022,345,692366
UPMC_c004_v001_r001_reg022,1249,693274
UPMC_c004_v001_r001_reg024,7224,717773
UPMC_c004_v001_r001_reg024,1983,712457
UPMC_c004_v001_r001_reg024,803,711226
UPMC_c004_v001_r001_reg024,1950,712423
UPMC_c004_v001_r001_reg024,2780,713280
UPMC_c004_v001_r001_reg024,3495,714011
UPMC_c004_v001_r001_reg024,8636,719192
UPMC_c004_v001_r001_reg024,1129,711566
UPMC_c004_v001_r001_reg025,1204,720498
UPMC_c004_v001_r001_reg025,2752,722093
UPMC_c004_v001_r001_reg025,5575,725037
UPMC_c004_v001_r001_reg025,871,720156
UPMC_c004_v001_r001_reg025,1894,721202
UPMC_c004_v001_r001_reg025,2738,722079
UPMC_c004_v001_r001_reg026,2281,728253
UPMC_c004_v001_r001_reg026,1756,727723
UPMC_c004_v001_r001_reg026,4951,731038
UPMC_c004_v001_r001_reg026,1412,727364
UPMC_c004_v001_r001_reg027,7378,738658
UPMC_c004_v001_r001_reg027,7644,738926
UPMC_c004_v001_r001_reg027,3122,734323
UPMC_c004_v001_r001_reg027,9031,740334
UPMC_c004_v001_r001_reg027,1031,732207
UPMC_c004_v001_r001_reg027,415,731582
UPMC_c004_v001_r001_reg027,5324,736558
UPMC_c004_v001_r001_reg027,1134,732311
UPMC_c004_v001_r001_reg027,10741,742062
UPMC_c004_v001_r001_reg027,9201,740506
UPMC_c004_v001_r001_reg027,683,731855
UPMC_c004_v001_r001_reg028,6257,749266
