,cv,entropy,nonzero_ratio
NegControlCodeword_0511,137.30463,0.9947934,5.3420230241192336e-05
NegControlCodeword_0512,136.95866,0.99845445,5.3420230241192336e-05
NegControlCodeword_0533,137.43578,0.99340415,5.3420230241192336e-05
NegControlProbe_00041,137.16772,0.99626136,5.3420230241192336e-05
NegControlCodeword_0509,137.68878,0.9907262,5.3420230241192336e-05
NegControlCodeword_0519,137.76869,0.989879,5.3420230241192336e-05
NegControlCodeword_0520,136.8147,0.9999761,5.3420230241192336e-05
NegControlCodeword_0508,137.40314,0.99374396,5.3420230241192336e-05
NegControlCodeword_0534,137.0212,0.99782306,5.3420230241192336e-05
NegControlCodeword_0524,141.22314,0.9522148,5.3420230241192336e-05
NegControlCodeword_0527,137.27353,0.99514544,5.3420230241192336e-05
NegControlCodeword_0529,136.87552,0.9993532,5.3420230241192336e-05
NegControlCodeword_0536,136.8347,0.99978477,5.3420230241192336e-05
NegControlCodeword_0540,193.4872,0.0,2.6710115120596168e-05
NegControlProbe_00039,193.48851,0.0,2.6710115120596168e-05
NegControlCodeword_0521,193.4868,0.0,2.6710115120596168e-05
NegControlCodeword_0532,193.48703,0.0,2.6710115120596168e-05
NegControlCodeword_0523,193.4873,0.0,2.6710115120596168e-05
NegControlCodeword_0517,193.4889,0.0,2.6710115120596168e-05
NegControlCodeword_0515,193.48766,0.0,2.6710115120596168e-05
NegControlCodeword_0513,193.48787,0.0,2.6710115120596168e-05
NegControlCodeword_0510,193.48654,0.0,2.6710115120596168e-05
NegControlCodeword_0507,193.48685,0.0,2.6710115120596168e-05
NegControlProbe_00034,193.48828,0.0,2.6710115120596168e-05
NegControlCodeword_0504,193.48895,0.0,2.6710115120596168e-05
NegControlCodeword_0506,193.48695,0.0,2.6710115120596168e-05
